Time (s);IRQ;FSM
-0.01269528;0;1
-0.01269215;0;1
-0.012689019999999999;0;1
-0.01268589;0;1
-0.01268276;0;1
-0.012679629999999999;0;1
-0.012676499999999999;0;1
-0.01267337;0;1
-0.01267024;0;1
-0.012667109999999999;0;1
-0.01266398;0;1
-0.01266085;0;1
-0.012657719999999999;0;1
-0.012654589999999999;0;1
-0.01265146;0;1
-0.01264833;0;1
-0.012645199999999999;0;1
-0.012642069999999998;0;1
-0.01263894;0;1
-0.012635809999999999;0;1
-0.012632679999999999;0;1
-0.01262955;0;1
-0.01262642;0;1
-0.012623289999999999;0;1
-0.012620159999999998;0;1
-0.01261703;0;1
-0.012613899999999999;0;1
-0.012610769999999999;0;1
-0.01260764;0;1
-0.01260451;0;1
-0.012601379999999999;0;1
-0.012598249999999998;1;1
-0.01259512;0;1
-0.012591989999999999;0;1
-0.012588859999999999;0;1
-0.01258573;0;1
-0.0125826;0;1
-0.012579469999999999;0;1
-0.012576339999999998;0;1
-0.01257321;0;1
-0.012570079999999999;0;1
-0.012566949999999999;0;1
-0.01256382;0;1
-0.01256069;0;1
-0.012557559999999999;0;1
-0.012554429999999998;0;1
-0.0125513;0;1
-0.012548169999999999;0;1
-0.012545039999999999;0;1
-0.01254191;0;1
-0.01253878;0;1
-0.012535649999999999;0;1
-0.012532519999999998;0;1
-0.01252939;0;1
-0.012526259999999999;0;1
-0.012523129999999999;0;1
-0.01252;0;1
-0.01251687;0;1
-0.012513739999999999;0;1
-0.012510609999999998;0;1
-0.01250748;0;1
-0.01250435;0;1
-0.012501219999999999;0;1
-0.01249809;0;1
-0.01249496;0;1
-0.012491829999999999;0;1
-0.012488699999999998;0;1
-0.01248557;0;1
-0.01248244;0;1
-0.012479309999999999;0;1
-0.01247618;0;1
-0.01247305;0;1
-0.012469919999999999;0;1
-0.012466789999999998;0;1
-0.01246366;0;1
-0.01246053;0;1
-0.012457399999999999;0;1
-0.01245427;0;1
-0.01245114;0;1
-0.012448009999999999;0;1
-0.012444879999999998;0;1
-0.01244175;0;1
-0.01243862;0;1
-0.012435489999999999;0;1
-0.01243236;0;1
-0.01242923;0;1
-0.012426099999999999;0;1
-0.012422969999999998;0;1
-0.01241984;0;1
-0.01241671;0;1
-0.012413579999999999;0;1
-0.01241045;0;1
-0.01240732;0;1
-0.012404189999999999;0;1
-0.012401059999999998;0;1
-0.01239793;0;1
-0.0123948;0;1
-0.012391669999999999;0;1
-0.01238854;0;1
-0.01238541;0;1
-0.012382279999999999;0;1
-0.012379149999999998;0;1
-0.01237602;0;1
-0.01237289;0;1
-0.012369759999999999;0;1
-0.01236663;0;1
-0.0123635;1;1
-0.012360369999999999;1;1
-0.012357239999999999;0;1
-0.01235411;0;1
-0.01235098;0;1
-0.012347849999999999;0;1
-0.01234472;0;1
-0.01234159;0;1
-0.012338459999999999;0;1
-0.012335329999999999;0;1
-0.0123322;0;1
-0.01232907;0;1
-0.012325939999999999;0;1
-0.01232281;0;1
-0.01231968;0;1
-0.012316549999999999;0;1
-0.012313419999999999;0;1
-0.01231029;0;1
-0.01230716;0;1
-0.012304029999999999;0;1
-0.0123009;0;1
-0.01229777;0;1
-0.012294639999999999;0;1
-0.012291509999999999;0;1
-0.01228838;0;1
-0.01228525;0;1
-0.012282119999999999;0;1
-0.01227899;0;1
-0.01227586;0;1
-0.012272729999999999;0;1
-0.012269599999999999;0;1
-0.01226647;0;1
-0.01226334;0;1
-0.012260209999999999;0;1
-0.01225708;0;1
-0.01225395;0;1
-0.012250819999999999;0;1
-0.012247689999999999;0;1
-0.01224456;0;1
-0.01224143;0;1
-0.012238299999999999;0;1
-0.012235169999999998;0;1
-0.01223204;0;1
-0.012228909999999999;0;1
-0.012225779999999999;0;1
-0.01222265;0;1
-0.01221952;0;1
-0.012216389999999999;0;1
-0.012213259999999998;0;1
-0.01221013;0;1
-0.012206999999999999;0;1
-0.012203869999999999;0;1
-0.01220074;0;1
-0.01219761;0;1
-0.012194479999999999;0;1
-0.012191349999999998;0;1
-0.01218822;0;1
-0.012185089999999999;0;1
-0.012181959999999999;0;1
-0.01217883;0;1
-0.0121757;0;1
-0.012172569999999999;0;1
-0.012169439999999998;0;1
-0.01216631;0;1
-0.012163179999999999;0;1
-0.012160049999999999;0;1
-0.01215692;0;1
-0.01215379;0;1
-0.012150659999999999;0;1
-0.012147529999999998;0;1
-0.0121444;0;1
-0.01214127;0;1
-0.012138139999999999;0;1
-0.01213501;0;1
-0.01213188;0;1
-0.012128749999999999;0;1
-0.012125619999999998;0;1
-0.01212249;0;1
-0.01211936;0;1
-0.012116229999999999;0;1
-0.0121131;0;1
-0.01210997;0;1
-0.012106839999999999;0;1
-0.012103709999999998;0;1
-0.01210058;0;1
-0.01209745;0;1
-0.012094319999999999;0;1
-0.01209119;0;1
-0.01208806;0;1
-0.012084929999999999;0;1
-0.012081799999999998;0;1
-0.01207867;0;1
-0.01207554;0;1
-0.012072409999999999;0;1
-0.01206928;0;1
-0.01206615;0;1
-0.012063019999999999;0;1
-0.012059889999999998;0;1
-0.01205676;0;1
-0.01205363;0;1
-0.012050499999999999;0;1
-0.01204737;0;1
-0.01204424;0;1
-0.012041109999999999;0;1
-0.012037979999999998;0;1
-0.01203485;0;1
-0.01203172;0;1
-0.012028589999999999;0;1
-0.01202546;0;1
-0.01202233;0;1
-0.012019199999999999;0;1
-0.012016069999999998;0;1
-0.01201294;0;1
-0.01200981;0;1
-0.012006679999999999;0;1
-0.01200355;0;1
-0.01200042;1;1
-0.011997289999999999;1;1
-0.011994159999999999;0;1
-0.01199103;0;1
-0.0119879;0;1
-0.011984769999999999;0;1
-0.01198164;0;1
-0.01197851;0;1
-0.011975379999999999;0;1
-0.011972249999999999;0;1
-0.01196912;0;1
-0.01196599;0;1
-0.011962859999999999;0;1
-0.01195973;0;1
-0.0119566;0;1
-0.011953469999999999;0;1
-0.011950339999999999;0;1
-0.01194721;0;1
-0.01194408;0;1
-0.011940949999999999;0;1
-0.01193782;0;1
-0.01193469;0;1
-0.011931559999999999;0;1
-0.011928429999999999;0;1
-0.0119253;0;1
-0.01192217;0;1
-0.011919039999999999;0;1
-0.01191591;0;1
-0.01191278;0;1
-0.011909649999999999;0;1
-0.011906519999999999;0;1
-0.01190339;0;1
-0.01190026;0;1
-0.011897129999999999;0;1
-0.011894;0;1
-0.01189087;0;1
-0.011887739999999999;0;1
-0.011884609999999999;0;1
-0.01188148;0;1
-0.01187835;0;1
-0.011875219999999999;0;1
-0.01187209;0;1
-0.01186896;0;1
-0.011865829999999999;0;1
-0.011862699999999999;0;1
-0.01185957;0;1
-0.01185644;0;1
-0.011853309999999999;0;1
-0.011850179999999998;0;1
-0.01184705;0;1
-0.011843919999999999;0;1
-0.011840789999999999;0;1
-0.01183766;0;1
-0.01183453;0;1
-0.011831399999999999;0;1
-0.011828269999999998;0;1
-0.01182514;0;1
-0.011822009999999999;0;1
-0.011818879999999999;0;1
-0.01181575;0;1
-0.01181262;0;1
-0.011809489999999999;0;1
-0.011806359999999998;0;1
-0.01180323;0;1
-0.011800099999999999;0;1
-0.011796969999999999;0;1
-0.01179384;0;1
-0.01179071;0;1
-0.011787579999999999;0;1
-0.011784449999999998;0;1
-0.01178132;0;1
-0.01177819;0;1
-0.011775059999999999;0;1
-0.01177193;0;1
-0.0117688;0;1
-0.011765669999999999;0;1
-0.011762539999999998;0;1
-0.01175941;0;1
-0.01175628;0;1
-0.011753149999999999;0;1
-0.01175002;0;1
-0.01174689;0;1
-0.011743759999999999;0;1
-0.011740629999999998;0;1
-0.0117375;0;1
-0.01173437;0;1
-0.011731239999999999;0;1
-0.01172811;0;1
-0.01172498;0;1
-0.011721849999999999;0;1
-0.011718719999999998;0;1
-0.01171559;0;1
-0.01171246;0;1
-0.011709329999999999;0;1
-0.0117062;0;1
-0.01170307;0;1
-0.011699939999999999;0;1
-0.011696809999999998;0;1
-0.01169368;0;1
-0.01169055;0;1
-0.011687419999999999;0;1
-0.01168429;0;1
-0.01168116;0;1
-0.011678029999999999;0;1
-0.011674899999999998;0;1
-0.01167177;0;1
-0.01166864;0;1
-0.011665509999999999;0;1
-0.01166238;0;1
-0.01165925;0;1
-0.011656119999999999;0;1
-0.011652989999999998;0;1
-0.01164986;0;1
-0.01164673;0;1
-0.011643599999999999;0;1
-0.01164047;0;1
-0.01163734;1;1
-0.011634209999999999;1;1
-0.011631079999999999;0;1
-0.01162795;0;1
-0.01162482;0;1
-0.011621689999999999;0;1
-0.01161856;0;1
-0.01161543;0;1
-0.011612299999999999;0;1
-0.011609169999999999;0;1
-0.01160604;0;1
-0.01160291;0;1
-0.011599779999999999;1;1
-0.01159665;1;1
-0.01159352;0;1
-0.011590389999999999;0;1
-0.011587259999999999;0;1
-0.01158413;0;1
-0.011581;0;1
-0.011577869999999999;0;1
-0.01157474;0;1
-0.01157161;0;1
-0.011568479999999999;0;1
-0.011565349999999999;0;1
-0.01156222;0;1
-0.01155909;0;1
-0.011555959999999999;0;1
-0.01155283;0;1
-0.0115497;0;1
-0.011546569999999999;0;1
-0.011543439999999999;0;1
-0.01154031;0;1
-0.01153718;0;1
-0.011534049999999999;0;1
-0.01153092;0;1
-0.01152779;0;1
-0.011524659999999999;0;1
-0.011521529999999999;0;1
-0.0115184;0;1
-0.01151527;0;1
-0.011512139999999999;0;1
-0.01150901;0;1
-0.01150588;0;1
-0.011502749999999999;0;1
-0.011499619999999999;0;1
-0.01149649;0;1
-0.01149336;0;1
-0.011490229999999999;0;1
-0.0114871;0;1
-0.01148397;0;1
-0.011480839999999999;0;1
-0.011477709999999999;0;1
-0.01147458;0;1
-0.01147145;0;1
-0.011468319999999999;0;1
-0.01146519;0;1
-0.01146206;0;1
-0.011458929999999999;0;1
-0.011455799999999999;0;1
-0.01145267;0;1
-0.01144954;0;1
-0.011446409999999999;0;1
-0.011443279999999998;0;1
-0.01144015;0;1
-0.011437019999999999;0;1
-0.011433889999999999;0;1
-0.01143076;0;1
-0.01142763;0;1
-0.011424499999999999;0;1
-0.011421369999999998;0;1
-0.01141824;0;1
-0.01141511;0;1
-0.011411979999999999;0;1
-0.01140885;0;1
-0.01140572;0;1
-0.011402589999999999;0;1
-0.011399459999999998;0;1
-0.01139633;0;1
-0.0113932;0;1
-0.011390069999999999;0;1
-0.01138694;0;1
-0.01138381;0;1
-0.011380679999999999;0;1
-0.011377549999999998;0;1
-0.01137442;0;1
-0.01137129;0;1
-0.011368159999999999;0;1
-0.01136503;0;1
-0.0113619;0;1
-0.011358769999999999;0;1
-0.011355639999999998;0;1
-0.01135251;0;1
-0.01134938;0;1
-0.011346249999999999;0;1
-0.01134312;0;1
-0.01133999;0;1
-0.011336859999999999;0;1
-0.011333729999999998;0;1
-0.0113306;0;1
-0.01132747;0;1
-0.011324339999999999;0;1
-0.01132121;0;1
-0.01131808;0;1
-0.011314949999999999;0;1
-0.011311819999999998;0;1
-0.01130869;0;1
-0.01130556;0;1
-0.011302429999999999;0;1
-0.0112993;0;1
-0.01129617;0;1
-0.011293039999999999;0;1
-0.011289909999999998;0;1
-0.01128678;0;1
-0.01128365;0;1
-0.011280519999999999;0;1
-0.01127739;0;1
-0.01127426;1;1
-0.011271129999999999;1;1
-0.011267999999999999;0;1
-0.01126487;0;1
-0.01126174;0;1
-0.011258609999999999;0;1
-0.01125548;0;1
-0.01125235;0;1
-0.011249219999999999;0;1
-0.011246089999999999;0;1
-0.01124296;0;1
-0.01123983;0;1
-0.011236699999999999;0;1
-0.01123357;0;1
-0.01123044;0;1
-0.011227309999999999;0;1
-0.011224179999999999;0;1
-0.01122105;0;1
-0.01121792;0;1
-0.011214789999999999;0;1
-0.01121166;0;1
-0.01120853;0;1
-0.011205399999999999;0;1
-0.011202269999999999;0;1
-0.01119914;0;1
-0.01119601;0;1
-0.011192879999999999;0;1
-0.01118975;0;1
-0.01118662;0;1
-0.011183489999999999;0;1
-0.011180359999999999;0;1
-0.01117723;0;1
-0.0111741;0;1
-0.011170969999999999;0;1
-0.01116784;0;1
-0.01116471;0;1
-0.011161579999999999;0;1
-0.011158449999999999;0;1
-0.01115532;0;1
-0.01115219;0;1
-0.011149059999999999;0;1
-0.01114593;0;1
-0.0111428;0;1
-0.011139669999999999;0;1
-0.011136539999999999;0;1
-0.01113341;0;1
-0.01113028;0;1
-0.011127149999999999;0;1
-0.01112402;0;1
-0.01112089;0;1
-0.011117759999999999;0;1
-0.011114629999999999;0;1
-0.0111115;0;1
-0.01110837;0;1
-0.011105239999999999;0;1
-0.01110211;0;1
-0.01109898;0;1
-0.011095849999999999;0;1
-0.011092719999999999;0;1
-0.01108959;0;1
-0.01108646;0;1
-0.011083329999999999;0;1
-0.0110802;0;1
-0.01107707;0;1
-0.011073939999999999;0;1
-0.011070809999999999;0;1
-0.01106768;0;1
-0.01106455;0;1
-0.011061419999999999;0;1
-0.01105829;0;1
-0.01105516;0;1
-0.01105203;0;1
-0.011048899999999999;0;1
-0.01104577;0;1
-0.01104264;0;1
-0.011039509999999999;0;1
-0.011036379999999998;0;1
-0.01103325;0;1
-0.01103012;0;1
-0.011026989999999999;0;1
-0.01102386;0;1
-0.01102073;0;1
-0.011017599999999999;0;1
-0.011014469999999998;0;1
-0.01101134;0;1
-0.01100821;0;1
-0.011005079999999999;0;1
-0.01100195;0;1
-0.01099882;0;1
-0.010995689999999999;0;1
-0.010992559999999998;0;1
-0.01098943;0;1
-0.0109863;0;1
-0.010983169999999999;0;1
-0.01098004;0;1
-0.01097691;0;1
-0.010973779999999999;0;1
-0.010970649999999998;0;1
-0.01096752;0;1
-0.01096439;0;1
-0.010961259999999999;0;1
-0.01095813;0;1
-0.010955;0;1
-0.010951869999999999;0;1
-0.010948739999999998;0;1
-0.01094561;0;1
-0.01094248;0;1
-0.010939349999999999;0;1
-0.01093622;0;1
-0.01093309;0;1
-0.010929959999999999;0;1
-0.010926829999999998;0;1
-0.0109237;0;1
-0.01092057;0;1
-0.010917439999999999;0;1
-0.01091431;0;1
-0.01091118;1;1
-0.010908049999999999;1;1
-0.010904919999999999;0;1
-0.01090179;0;1
-0.01089866;0;1
-0.010895529999999999;0;1
-0.0108924;0;1
-0.01088927;0;1
-0.010886139999999999;0;1
-0.010883009999999999;0;1
-0.01087988;0;1
-0.01087675;0;1
-0.010873619999999999;0;1
-0.01087049;0;1
-0.01086736;0;1
-0.010864229999999999;0;1
-0.010861099999999999;0;1
-0.01085797;0;1
-0.01085484;0;1
-0.010851709999999999;0;1
-0.01084858;0;1
-0.01084545;0;1
-0.010842319999999999;0;1
-0.010839189999999999;0;1
-0.01083606;0;1
-0.01083293;0;1
-0.010829799999999999;0;1
-0.01082667;0;1
-0.01082354;0;1
-0.010820409999999999;0;1
-0.010817279999999999;0;1
-0.01081415;0;1
-0.01081102;0;1
-0.010807889999999999;0;1
-0.01080476;0;1
-0.01080163;0;1
-0.010798499999999999;0;1
-0.010795369999999999;0;1
-0.01079224;0;1
-0.01078911;0;1
-0.010785979999999999;0;1
-0.01078285;0;1
-0.01077972;0;1
-0.010776589999999999;0;1
-0.010773459999999999;0;1
-0.01077033;0;1
-0.0107672;0;1
-0.010764069999999999;0;1
-0.01076094;0;1
-0.01075781;0;1
-0.010754679999999999;0;1
-0.010751549999999999;0;1
-0.01074842;0;1
-0.01074529;0;1
-0.010742159999999999;0;1
-0.01073903;0;1
-0.0107359;0;1
-0.010732769999999999;0;1
-0.010729639999999999;0;1
-0.01072651;0;1
-0.01072338;0;1
-0.010720249999999999;0;1
-0.01071712;0;1
-0.01071399;0;1
-0.010710859999999999;0;1
-0.010707729999999999;0;1
-0.0107046;0;1
-0.01070147;0;1
-0.010698339999999999;0;1
-0.01069521;0;1
-0.01069208;0;1
-0.01068895;0;1
-0.010685819999999999;0;1
-0.01068269;0;1
-0.01067956;0;1
-0.010676429999999999;0;1
-0.0106733;0;1
-0.01067017;0;1
-0.01066704;0;1
-0.010663909999999999;0;1
-0.01066078;0;1
-0.01065765;0;1
-0.010654519999999999;0;1
-0.01065139;0;1
-0.01064826;0;1
-0.01064513;0;1
-0.010641999999999999;0;1
-0.01063887;0;1
-0.01063574;0;1
-0.010632609999999999;0;1
-0.010629479999999998;0;1
-0.01062635;0;1
-0.01062322;0;1
-0.010620089999999999;0;1
-0.01061696;0;1
-0.01061383;0;1
-0.010610699999999999;0;1
-0.010607569999999998;0;1
-0.01060444;0;1
-0.01060131;0;1
-0.010598179999999999;1;1
-0.01059505;0;1
-0.01059192;0;1
-0.010588789999999999;0;1
-0.010585659999999998;0;1
-0.01058253;0;1
-0.0105794;0;1
-0.010576269999999999;0;1
-0.01057314;0;1
-0.01057001;0;1
-0.010566879999999999;0;1
-0.010563749999999998;0;1
-0.01056062;0;1
-0.01055749;0;1
-0.010554359999999999;0;1
-0.01055123;0;1
-0.0105481;1;1
-0.010544969999999999;1;1
-0.010541839999999999;0;1
-0.01053871;0;1
-0.01053558;0;1
-0.010532449999999999;0;1
-0.01052932;0;1
-0.01052619;0;1
-0.010523059999999999;0;1
-0.010519929999999999;0;1
-0.0105168;0;1
-0.01051367;0;1
-0.010510539999999999;0;1
-0.01050741;0;1
-0.01050428;0;1
-0.010501149999999999;0;1
-0.010498019999999999;0;1
-0.01049489;0;1
-0.01049176;0;1
-0.010488629999999999;0;1
-0.0104855;0;1
-0.01048237;0;1
-0.010479239999999999;0;1
-0.010476109999999999;0;1
-0.01047298;0;1
-0.01046985;0;1
-0.010466719999999999;0;1
-0.01046359;0;1
-0.01046046;0;1
-0.010457329999999999;0;1
-0.010454199999999999;0;1
-0.01045107;0;1
-0.01044794;0;1
-0.010444809999999999;0;1
-0.01044168;0;1
-0.01043855;0;1
-0.010435419999999999;0;1
-0.010432289999999999;0;1
-0.01042916;0;1
-0.01042603;0;1
-0.010422899999999999;0;1
-0.01041977;0;1
-0.01041664;0;1
-0.010413509999999999;0;1
-0.010410379999999999;0;1
-0.01040725;0;1
-0.01040412;0;1
-0.010400989999999999;0;1
-0.01039786;0;1
-0.01039473;0;1
-0.010391599999999999;0;1
-0.010388469999999999;0;1
-0.01038534;0;1
-0.01038221;0;1
-0.010379079999999999;0;1
-0.01037595;0;1
-0.01037282;0;1
-0.010369689999999999;0;1
-0.010366559999999999;0;1
-0.01036343;0;1
-0.0103603;0;1
-0.010357169999999999;0;1
-0.01035404;0;1
-0.01035091;0;1
-0.010347779999999999;0;1
-0.010344649999999999;0;1
-0.01034152;0;1
-0.01033839;0;1
-0.010335259999999999;0;1
-0.01033213;0;1
-0.010329;0;1
-0.01032587;0;1
-0.010322739999999999;0;1
-0.01031961;0;1
-0.01031648;0;1
-0.010313349999999999;0;1
-0.01031022;0;1
-0.01030709;0;1
-0.01030396;0;1
-0.010300829999999999;0;1
-0.0102977;0;1
-0.01029457;0;1
-0.010291439999999999;0;1
-0.01028831;0;1
-0.01028518;0;1
-0.01028205;0;1
-0.010278919999999999;0;1
-0.01027579;0;1
-0.01027266;0;1
-0.010269529999999999;0;1
-0.0102664;0;1
-0.01026327;0;1
-0.01026014;0;1
-0.010257009999999999;0;1
-0.01025388;0;1
-0.01025075;0;1
-0.010247619999999999;0;1
-0.01024449;0;1
-0.01024136;0;1
-0.01023823;0;1
-0.010235099999999999;0;1
-0.01023197;0;1
-0.01022884;0;1
-0.010225709999999999;0;1
-0.010222579999999998;0;1
-0.01021945;0;1
-0.01021632;0;1
-0.010213189999999999;0;1
-0.01021006;0;1
-0.01020693;0;1
-0.010203799999999999;0;1
-0.010200669999999998;0;1
-0.01019754;0;1
-0.01019441;0;1
-0.010191279999999999;0;1
-0.01018815;0;1
-0.01018502;1;1
-0.010181889999999999;1;1
